memo;descricao;Precisa descrição;grupo;categoria;subcategoria;tipo_fluxo;observacao
PIX RECEBIDO - OUTRA IF;;Não;PIX;Pix entrada;;Entrada;Regra publica generica
TRANSF.RECEBIDA - PIX SICOOB;;Não;PIX;Pix entrada;;Entrada;Regra publica generica
PIX EMITIDO OUTRA IF;;Não;PIX;Pix saída;;Saida;Regra publica generica
TRANSF.REALIZADA PIX SICOOB;;Não;PIX;Pix saída;;Saida;Regra publica generica
CR COMPRAS VISA;;Não;Cartão;Crédito;;Entrada;Regra publica generica
CR COMPRAS MASTERCARD;;Não;Cartão;Crédito;;Entrada;Regra publica generica
CR COMPRAS CRE OUTRAS BANDEIRAS;;Não;Cartão;Crédito;;Entrada;Regra publica generica
CR COMPRAS MAESTRO;;Não;Cartão;Débito;;Entrada;Regra publica generica
CR COMPRAS VISA ELECTRON;;Não;Cartão;Débito;;Entrada;Regra publica generica
CR COMPRAS DEB OUTRAS BANDEIRAS;;Não;Cartão;Débito;;Entrada;Regra publica generica
CHEQUE PAGO CAIXA;;Não;Cheque;Cheque;;Saida;Regra publica generica
CHEQUE COMPE INTEGRADA;;Não;Cheque;Cheque;;Saida;Regra publica generica
PGTOS - CHEQUE PRÓPRIA COOP/AG;;Não;Cheque;Cheque;;Saida;Regra publica generica
DÉB.TIT.COMPE EFETIVADO;;Não;Despesas;Fornecedores;;Saida;Regra publica generica
DÉB.TÍTULO COBRANÇA;;Não;Despesas;Fornecedores;;Saida;Regra publica generica
DÉB.TIT. COBRANÇA EFETIVADO;;Não;Despesas;Fornecedores;;Saida;Regra publica generica
DÉB. PAGAMENTO DE BOLETO INTERCREDIS;;Não;Despesas;Fornecedores;;Saida;Regra publica generica
DÉB.CONV.ORGÃOS GOV.;;Não;Despesas;Convênios;;Saida;Regra publica generica
DÉB.CONV.TRIBUTOS FEDERAIS - RFB;;Não;Despesas;Convênios;;Saida;Regra publica generica
DÉB.CONV.TELECOMUNICAÇÕES;;Não;Despesas;Convênios;;Saida;Regra publica generica
DÉB.CONV.EN.ELÉTRICA E GÁS;;Não;Despesas;Convênios;;Saida;Regra publica generica
DÉB.CONV.SANEAMENTO;;Não;Despesas;Convênios;;Saida;Regra publica generica
DÉB. CONV. SEGUROS;;Não;Despesas;Convênios;;Saida;Regra publica generica
DÉBITO PAGAMENTO AGENDADO GPS;;Não;Despesas;Convênios;;Saida;Regra publica generica
APLICAÇÃO RDC;;Não;Investimento;Aplicação;;Saida;Regra publica generica
CRÉD.TED-STR;;Não;Recebimentos;Transferências;;Entrada;Regra publica generica
CRED.TRANSF.CONTAS INTERCREDIS;;Não;Recebimentos;Transferências;;Entrada;Regra publica generica
DÉB.TRANSF.CONTAS DIF.TITULARIDADE;;Não;Transferências;Transferências enviadas;;Saida;Regra publica generica
DÉB.TRANSF.CONTAS DIF.TIT. INTERCREDIS;;Não;Transferências;Transferências enviadas;;Saida;Regra publica generica
COMPRA VISA ELECTRON;;Não;Compras;Cartão débito;;Saida;Regra publica generica
CREDITO REEMBOLSO ALUGUEL SIPAG;;Não;Reembolso;Aluguel;;Entrada;Regra publica generica
TAR. FORNEC. FOLHA CHEQUE TALÃO;;Não;Despesas;Tarifas bancárias;;Saida;Regra publica generica
